0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
16234168,16242660,16206898,16263398,16260964,16219580,16301884,16284336,16235188,16310368,16292331,16257641,16293976,16254600,16298719,16272141,16316876,16293692,16307761,16294338,16330413
16235144,16243324,16207215,16265613,16265298,16224897,16302101,16285353,16241361,16311101,16293026,16259753,16296599,16257882,16301138,16273461,16318991,16296977,16308123,16297850,16331538
16235350,16245292,16209444,16267506,16269052,16225143,16306248,16296112,16245495,16317570,16293171,16259816,16298153,16260506,16303144,16274544,16320782,16298221,16310748,16301428,16332405
16236784,16245360,16210038,16268136,16269833,16226552,16313195,16297738,16245872,16318143,16296337,16263491,16300656,16260715,16303521,16276039,16322467,16300097,16313516,16307358,16335387
16236839,16245870,16218948,16269370,16271428,16231812,16315397,16299382,16246528,16318767,16303205,16264655,16301722,16262602,16306545,16276669,16323498,16301430,16313526,16307606,16336820
16237281,16249346,16221667,16272274,16272676,16236966,16318495,16300907,16253405,16327372,16303865,16266259,16305005,16263506,16307056,16280098,16324854,16302579,16321879,16312053,16343240
16237530,16250297,16224708,16272804,16274125,16238102,16318849,16301084,16255697,16329650,16304374,16267049,16305816,16265742,16309076,16282181,16327041,16313201,16329025,16316185,16345719
16238320,16250717,16228390,16274826,16276149,16245300,16320298,16301594,16262464,16334290,16304589,16271163,16307785,16266600,16310397,16287790,16329524,16325048,16329445,16316808,16348131
16238487,16257458,16229838,16277203,16276255,16245847,16325185,16304061,16264202,16337873,16305025,16274509,16309175,16270867,16315929,16288718,16335050,16325646,16329907,16319387,16354206
16238520,16264193,16230568,16278241,16276510,16247124,16325489,16304408,16267821,16338368,16305574,16275034,16310348,16271617,16316138,16292941,16335980,16338087,16331252,16319567,16354393
16240726,16265029,16233547,16278313,16276806,16253135,16326196,16306453,16270507,16340937,16309040,16280548,16313416,16276309,16316453,16295334,16337510,16339369,16337363,16324717,16355525
16241572,16266625,16234291,16278666,16279493,16254050,16326575,16307880,16273467,16344997,16309623,16286396,16317948,16276705,16317535,16299996,16337876,16341252,16338262,16325208,16362885
16243388,16266864,16236690,16280168,16280566,16255063,16335770,16309310,16274400,16346140,16309989,16287091,16318005,16279914,16317838,16300768,16340231,16348651,16338810,16326130,16363001
16249725,16273142,16236757,16280943,16281548,16256747,16336264,16309409,16275434,16354616,16310421,16288361,16320601,16280508,16318573,16302290,16341174,16352781,16341257,16327252,16363007
16249826,16274657,16239439,16281581,16284269,16259822,16336316,16309919,16280555,16365049,16311482,16289199,16321694,16284252,16319897,16303329,16347535,16353309,16341330,16331103,16366756
16249973,16275049,16239961,16283318,16286973,16260316,16339295,16310568,16282370,16365638,16312302,16289705,16323875,16286881,16319986,16305041,16347565,16356523,16349702,16332800,16374361
16250214,16278098,16243185,16283501,16292785,16260423,16344250,16312498,16283210,16369578,16313555,16290679,16325022,16289021,16321604,16307108,16347616,16360692,16356614,16333451,16385376
16252309,16279366,16245438,16283621,16293874,16260862,16344625,16319215,16283379,16371232,16319268,16291003,16328405,16295706,16321805,16309179,16348731,16363606,16359955,16335102,16385597
16253272,16279466,16254793,16285252,16294798,16265450,16346534,16321450,16283919,16377957,16322842,16291179,16329298,16298069,16322445,16309449,16352689,16366358,16364467,16339442,16387679
16254395,16283816,16254993,16285580,16294933,16267840,16348405,16324383,16284563,16380051,16323143,16295892,16329569,16301720,16322740,16311779,16354742,16367136,16364570,16339632,16387703
16256478,16284335,16257544,16286256,16296455,16269582,16351646,16325215,16285403,16390827,16323256,16297144,16331815,16303174,16323394,16312056,16354909,16368315,16365623,16342399,16389497
16261870,16284678,16260138,16287980,16296598,16271273,16352163,16326425,16286248,16407011,16327874,16301422,16332995,16303327,16328068,16317402,16357483,16374490,16365632,16344677,16390123
16263952,16284737,16260582,16288020,16296672,16274361,16353901,16327187,16286750,16408636,16328090,16302792,16333005,16306401,16334086,16320944,16360339,16377184,16368318,16347888,16390854
16269518,16287311,16263941,16288646,16297367,16276373,16363207,16329087,16288143,16408822,16329203,16304837,16339700,16307199,16335290,16325867,16362032,16379717,16373251,16348995,16391492
16270253,16287416,16270852,16294624,16297678,16277974,16363862,16329289,16289749,16410398,16332119,16307217,16342702,16309421,16338008,16328594,16364599,16380858,16376388,16352417,16402388
16272780,16287939,16271116,16296625,16300761,16278683,16372336,16330601,16290635,16416367,16335210,16307950,16343007,16310323,16338773,16330389,16365005,16381493,16380379,16352809,16404815
16275696,16289359,16274367,16297879,16301032,16278838,16375589,16331142,16293353,16419580,16335884,16308468,16345683,16312646,16339115,16330546,16365249,16382559,16385215,16362067,16408072
16277558,16290131,16275017,16299666,16303049,16279520,16377014,16331847,16293622,16426867,16336048,16316376,16346349,16312656,16340564,16330574,16366959,16382958,16386847,16363132,16411653
16278510,16290458,16275512,16302280,16306677,16280935,16377992,16332973,16295278,16432368,16337922,16316888,16346378,16316881,16340604,16339036,16369142,16390331,16387261,16364567,16413624
16279912,16292525,16277767,16302429,16307446,16281566,16381527,16334851,16296033,16434425,16338635,16318003,16347026,16319269,16341822,16341135,16369326,16392920,16389059,16372249,16414967
16283371,16293513,16279315,16303566,16311799,16282064,16383676,16337619,16297457,16437414,16341027,16319516,16348633,16319841,16342273,16342632,16371323,16394379,16393635,16373668,16416853
16283741,16294262,16282680,16303823,16313837,16283061,16387208,16338917,16298730,16445734,16341592,16321777,16349649,16320414,16343150,16348736,16372390,16394663,16396658,16373919,16419623
16284520,16297396,16285094,16304297,16314161,16283356,16395625,16339479,16299547,16446810,16343151,16323183,16349792,16320776,16345048,16350186,16373540,16397247,16397217,16380370,16419772
16289331,16298199,16285104,16305343,16314846,16285515,16395831,16340652,16299946,16450163,16343842,16323323,16351514,16321293,16345992,16353285,16375649,16404205,16409689,16380605,16420636
16289785,16300122,16286514,16307854,16315315,16285743,16397377,16341087,16300829,16452358,16345019,16324287,16351925,16322531,16349754,16353307,16378608,16406656,16410428,16380813,16427239
16295357,16304197,16290192,16312845,16315391,16287913,16401040,16343098,16301030,16456034,16346613,16326488,16353570,16322798,16350584,16353579,16379044,16411474,16413505,16380934,16429451
16300429,16305479,16290369,16313913,16316373,16288581,16403357,16344850,16306269,16456609,16348500,16327581,16357720,16325135,16350822,16356504,16379906,16414245,16424321,16389004,16430018
16302504,16306368,16294082,16314846,16316650,16289092,16404393,16345956,16308857,16456880,16351221,16328861,16357772,16328209,16351445,16360455,16383895,16414398,16430086,16390818,16430446
16305477,16308307,16295636,16314907,16318820,16291764,16405446,16346233,16309794,16457116,16351333,16329089,16358783,16329821,16352072,16369873,16387444,16416604,16437762,16392074,16431329
16306399,16308505,16297851,16316066,16321149,16292594,16405998,16346505,16310165,16457508,16352481,16332670,16360678,16329911,16353744,16371727,16388460,16417750,16445404,16393304,16432667
16308559,16308856,16299426,16316077,16324128,16292782,16408553,16347628,16311027,16458141,16352784,16333903,16362654,16330583,16354846,16379190,16390649,16418926,16447047,16397961,16433921
