0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log,,,0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log
19671755,22348437,20204465,20141547,20192336,19935830,20157761,20160982,20152532,20008702,19959202,20077486,20000938,20138686,20121995,20192220,20230820,20199519,20301926,20294467,20421665,,,19671755,22348437,20204465,20141547,20192336,19935830,20157761,20160982,20152532,20008702,19959202,20077486,20000938,20138686,20121995,20192220,20230820,20199519,20301926,20294467,20421665
19676862,22349214,20204890,20141628,20195250,19937710,20159232,20162158,20153848,20009395,19960676,20083544,20004279,20138769,20122700,20193922,20231199,20201006,20305948,20295161,20421800,,,19676862,22349214,20204890,20141628,20195250,19937710,20159232,20162158,20153848,20009395,19960676,20083544,20004279,20138769,20122700,20193922,20231199,20201006,20305948,20295161,20421800
19686177,22349443,20206134,20144330,20195533,19938271,20161131,20162396,20154380,20010850,19962984,20083680,20009464,20138987,20123598,20196254,20231476,20201057,20307155,20296868,20422969,,,19686177,22349443,20206134,20144330,20195533,19938271,20161131,20162396,20154380,20010850,19962984,20083680,20009464,20138987,20123598,20196254,20231476,20201057,20307155,20296868,20422969
19688748,22350613,20206934,20145455,20196525,19938599,20161777,20163791,20155986,20011132,19963010,20085038,20011515,20139629,20124573,20197937,20232368,20201555,20307462,20297525,20424901,,,19688748,22350613,20206934,20145455,20196525,19938599,20161777,20163791,20155986,20011132,19963010,20085038,20011515,20139629,20124573,20197937,20232368,20201555,20307462,20297525,20424901
19694920,22351660,20206989,20146361,20196796,19938666,20162065,20164862,20156152,20017686,19963321,20087235,20015049,20140242,20125957,20199240,20232438,20202318,20308039,20299456,20425372,,,19694920,22351660,20206989,20146361,20196796,19938666,20162065,20164862,20156152,20017686,19963321,20087235,20015049,20140242,20125957,20199240,20232438,20202318,20308039,20299456,20425372
19695784,22352220,20208194,20147270,20196875,19939295,20162509,20165507,20156635,20017959,19966027,20091564,20016598,20141707,20129413,20199991,20232643,20202524,20310306,20300853,20425642,,,19695784,22352220,20208194,20147270,20196875,19939295,20162509,20165507,20156635,20017959,19966027,20091564,20016598,20141707,20129413,20199991,20232643,20202524,20310306,20300853,20425642
19813520,22352395,20208819,20147557,20197449,19939864,20164895,20166276,20157080,20018469,19969441,20094935,20021350,20143451,20131696,20200282,20233216,20203243,20311048,20302955,20425855,,,19813520,22352395,20208819,20147557,20197449,19939864,20164895,20166276,20157080,20018469,19969441,20094935,20021350,20143451,20131696,20200282,20233216,20203243,20311048,20302955,20425855
20598814,22352417,20210001,20147672,20199330,19940398,20165658,20167055,20160279,20020292,19972903,20094961,20026624,20144298,20133514,20200980,20234077,20203407,20313529,20303767,20427366,,,20598814,22352417,20210001,20147672,20199330,19940398,20165658,20167055,20160279,20020292,19972903,20094961,20026624,20144298,20133514,20200980,20234077,20203407,20313529,20303767,20427366
20626210,22353128,20210804,20148791,20199723,19941427,20166304,20167977,20160452,20020536,19973840,20098597,20026716,20144780,20134159,20202081,20235045,20204853,20315451,20304037,20427573,,,20626210,22353128,20210804,20148791,20199723,19941427,20166304,20167977,20160452,20020536,19973840,20098597,20026716,20144780,20134159,20202081,20235045,20204853,20315451,20304037,20427573
20647975,22353923,20212194,20149301,20200141,19943772,20167239,20168018,20160632,20023836,19975318,20100379,20033138,20145233,20134999,20202125,20235537,20206374,20318454,20304505,20427898,,,20647975,22353923,20212194,20149301,20200141,19943772,20167239,20168018,20160632,20023836,19975318,20100379,20033138,20145233,20134999,20202125,20235537,20206374,20318454,20304505,20427898
20653256,22354449,20213529,20149740,20200797,19946100,20167425,20168067,20160767,20026364,19975586,20101301,20050136,20146350,20135278,20202653,20235614,20207476,20321887,20304607,20428003,,,20653256,22354449,20213529,20149740,20200797,19946100,20167425,20168067,20160767,20026364,19975586,20101301,20050136,20146350,20135278,20202653,20235614,20207476,20321887,20304607,20428003
20668884,22354492,20214911,20149763,20201376,19946953,20167646,20168268,20161136,20026561,19976003,20101662,20051366,20147004,20135527,20204151,20236487,20208271,20323252,20305769,20428475,,,20668884,22354492,20214911,20149763,20201376,19946953,20167646,20168268,20161136,20026561,19976003,20101662,20051366,20147004,20135527,20204151,20236487,20208271,20323252,20305769,20428475
20675424,22354934,20215089,20150479,20201661,19947346,20167779,20169170,20161242,20026916,19977776,20102182,20052682,20147066,20135915,20204596,20236996,20209011,20326639,20306049,20428964,,,20675424,22354934,20215089,20150479,20201661,19947346,20167779,20169170,20161242,20026916,19977776,20102182,20052682,20147066,20135915,20204596,20236996,20209011,20326639,20306049,20428964
20709504,22355117,20216112,20151329,20202326,19948269,20168203,20169294,20161860,20030792,19984628,20103474,20056563,20148275,20136182,20204616,20237348,20209267,20327252,20306142,20429570,,,20709504,22355117,20216112,20151329,20202326,19948269,20168203,20169294,20161860,20030792,19984628,20103474,20056563,20148275,20136182,20204616,20237348,20209267,20327252,20306142,20429570
20787713,22355614,20216839,20152185,20202610,19948550,20170530,20170415,20162222,20031815,19984680,20104286,20058425,20149274,20136697,20204934,20238545,20209855,20327378,20307257,20429656,,,20787713,22355614,20216839,20152185,20202610,19948550,20170530,20170415,20162222,20031815,19984680,20104286,20058425,20149274,20136697,20204934,20238545,20209855,20327378,20307257,20429656
20853661,22355889,20217024,20152426,20203296,19948907,20171816,20171018,20163373,20034534,19984755,20104919,20062652,20149946,20137071,20208461,20239161,20210799,20333206,20313162,20430366,,,20853661,22355889,20217024,20152426,20203296,19948907,20171816,20171018,20163373,20034534,19984755,20104919,20062652,20149946,20137071,20208461,20239161,20210799,20333206,20313162,20430366
20881452,22356405,20220124,20154487,20203605,19949163,20172209,20171023,20164908,20035796,19986036,20107184,20064814,20151801,20137825,20209481,20240472,20211607,20338040,20315981,20431963,,,20881452,22356405,20220124,20154487,20203605,19949163,20172209,20171023,20164908,20035796,19986036,20107184,20064814,20151801,20137825,20209481,20240472,20211607,20338040,20315981,20431963
20882824,22356816,20220174,20154883,20204104,19950210,20172743,20171026,20165390,20042916,19986708,20107797,20067741,20151900,20138015,20209767,20241596,20212010,20338063,20317637,20433171,,,20882824,22356816,20220174,20154883,20204104,19950210,20172743,20171026,20165390,20042916,19986708,20107797,20067741,20151900,20138015,20209767,20241596,20212010,20338063,20317637,20433171
20926162,22356958,20221786,20156314,20204809,19951205,20173670,20171400,20165938,20043493,19991382,20109900,20069168,20151981,20138474,20210151,20243217,20212067,20339083,20317928,20433378,,,20926162,22356958,20221786,20156314,20204809,19951205,20173670,20171400,20165938,20043493,19991382,20109900,20069168,20151981,20138474,20210151,20243217,20212067,20339083,20317928,20433378
20936302,22357733,20222364,20156331,20205129,19951873,20174183,20171635,20166078,20052918,19997888,20110638,20069510,20152717,20138901,20210796,20243340,20212466,20339171,20320026,20433800,,,20936302,22357733,20222364,20156331,20205129,19951873,20174183,20171635,20166078,20052918,19997888,20110638,20069510,20152717,20138901,20210796,20243340,20212466,20339171,20320026,20433800
20952878,22358037,20223277,20156893,20206227,19951995,20174901,20175382,20167231,20055510,19999305,20114041,20071435,20156282,20139829,20212658,20243400,20212992,20341113,20320587,20435362,,,20952878,22358037,20223277,20156893,20206227,19951995,20174901,20175382,20167231,20055510,19999305,20114041,20071435,20156282,20139829,20212658,20243400,20212992,20341113,20320587,20435362
20971653,22358201,20223912,20157178,20206228,19955356,20175344,20175886,20168484,20056595,20000519,20114201,20072517,20157198,20142140,20214702,20243574,20213582,20343099,20321405,20437007,,,20971653,22358201,20223912,20157178,20206228,19955356,20175344,20175886,20168484,20056595,20000519,20114201,20072517,20157198,20142140,20214702,20243574,20213582,20343099,20321405,20437007
20974269,22359637,20227149,20157901,20207174,19956291,20175373,20176825,20169271,20061874,20010402,20114210,20073349,20157322,20145739,20216039,20243785,20213634,20343275,20326261,20438225,,,20974269,22359637,20227149,20157901,20207174,19956291,20175373,20176825,20169271,20061874,20010402,20114210,20073349,20157322,20145739,20216039,20243785,20213634,20343275,20326261,20438225
20975637,22359745,20227201,20159448,20207405,19958110,20175707,20177050,20169491,20067190,20012884,20115539,20073694,20157709,20151759,20218206,20244153,20213789,20347135,20329055,20438639,,,20975637,22359745,20227201,20159448,20207405,19958110,20175707,20177050,20169491,20067190,20012884,20115539,20073694,20157709,20151759,20218206,20244153,20213789,20347135,20329055,20438639
20985952,22360129,20227222,20160409,20208235,19958255,20176817,20177295,20170538,20068438,20016941,20115937,20081974,20157845,20152181,20219141,20248194,20213931,20347286,20330212,20439020,,,20985952,22360129,20227222,20160409,20208235,19958255,20176817,20177295,20170538,20068438,20016941,20115937,20081974,20157845,20152181,20219141,20248194,20213931,20347286,20330212,20439020
20993970,22360171,20227360,20160589,20212198,19959369,20177045,20180534,20173124,20069023,20021571,20116060,20083606,20158215,20153454,20220549,20248491,20214221,20349089,20331278,20440300,,,20993970,22360171,20227360,20160589,20212198,19959369,20177045,20180534,20173124,20069023,20021571,20116060,20083606,20158215,20153454,20220549,20248491,20214221,20349089,20331278,20440300
20999192,22360358,20227842,20160970,20213118,19961085,20177082,20180867,20173479,20074968,20021846,20116162,20083683,20159460,20153657,20221626,20249161,20216447,20349360,20334159,20440731,,,20999192,22360358,20227842,20160970,20213118,19961085,20177082,20180867,20173479,20074968,20021846,20116162,20083683,20159460,20153657,20221626,20249161,20216447,20349360,20334159,20440731
21027400,22360844,20228903,20161712,20215048,19961129,20178516,20180883,20174278,20082419,20023589,20116210,20086622,20160217,20154747,20221712,20249926,20216757,20352174,20334334,20441375,,,21027400,22360844,20228903,20161712,20215048,19961129,20178516,20180883,20174278,20082419,20023589,20116210,20086622,20160217,20154747,20221712,20249926,20216757,20352174,20334334,20441375
21042110,22361170,20230240,20162164,20217238,19962418,20180625,20181269,20174291,20083430,20025069,20117723,20089141,20161319,20154854,20221791,20250484,20219111,20359805,20338519,20441766,,,21042110,22361170,20230240,20162164,20217238,19962418,20180625,20181269,20174291,20083430,20025069,20117723,20089141,20161319,20154854,20221791,20250484,20219111,20359805,20338519,20441766
21049957,22361623,20231843,20162315,20218131,19962453,20180770,20181544,20174657,20083897,20027541,20118124,20089310,20165880,20155074,20223745,20251260,20219131,20360459,20339891,20442966,,,21049957,22361623,20231843,20162315,20218131,19962453,20180770,20181544,20174657,20083897,20027541,20118124,20089310,20165880,20155074,20223745,20251260,20219131,20360459,20339891,20442966
21053051,22362190,20231965,20162846,20218509,19962561,20181912,20182231,20175882,20086383,20027763,20120960,20089597,20167057,20155405,20225681,20251601,20219519,20362223,20342437,20443043,,,21053051,22362190,20231965,20162846,20218509,19962561,20181912,20182231,20175882,20086383,20027763,20120960,20089597,20167057,20155405,20225681,20251601,20219519,20362223,20342437,20443043
21157022,22362386,20232979,20163135,20219823,19962605,20182163,20182553,20176197,20086411,20034273,20121776,20092037,20167272,20157099,20226588,20252388,20219826,20362985,20344742,20443247,,,21157022,22362386,20232979,20163135,20219823,19962605,20182163,20182553,20176197,20086411,20034273,20121776,20092037,20167272,20157099,20226588,20252388,20219826,20362985,20344742,20443247
21177872,22362756,20233329,20163415,20219914,19962889,20182286,20182831,20176461,20089682,20036384,20123867,20095185,20168655,20157533,20229980,20252602,20221278,20364150,20348471,20445436,,,21177872,22362756,20233329,20163415,20219914,19962889,20182286,20182831,20176461,20089682,20036384,20123867,20095185,20168655,20157533,20229980,20252602,20221278,20364150,20348471,20445436
21179450,22362901,20233769,20163934,20219965,19963323,20183050,20183999,20176506,20090749,20041291,20124130,20095431,20169103,20158253,20230266,20253232,20223437,20365747,20349626,20446237,,,21179450,22362901,20233769,20163934,20219965,19963323,20183050,20183999,20176506,20090749,20041291,20124130,20095431,20169103,20158253,20230266,20253232,20223437,20365747,20349626,20446237
21223695,22363233,20233894,20166458,20220615,19963410,20184348,20184522,20176594,20091491,20042714,20124190,20100455,20169374,20158633,20231911,20253644,20224321,20365989,20349700,20446981,,,21223695,22363233,20233894,20166458,20220615,19963410,20184348,20184522,20176594,20091491,20042714,20124190,20100455,20169374,20158633,20231911,20253644,20224321,20365989,20349700,20446981
21614165,22363707,20239113,20167101,20221205,19963887,20184366,20184528,20177403,20095676,20046361,20125374,20100755,20169622,20159001,20232076,20253913,20224984,20366022,20351119,20447549,,,21614165,22363707,20239113,20167101,20221205,19963887,20184366,20184528,20177403,20095676,20046361,20125374,20100755,20169622,20159001,20232076,20253913,20224984,20366022,20351119,20447549
21940112,22363732,20241846,20167578,20221422,19965541,20184613,20184943,20179647,20098910,20049882,20125577,20106560,20169711,20161092,20233180,20257498,20225384,20368993,20352233,20447812,,,21940112,22363732,20241846,20167578,20221422,19965541,20184613,20184943,20179647,20098910,20049882,20125577,20106560,20169711,20161092,20233180,20257498,20225384,20368993,20352233,20447812
22095119,22364267,20242184,20167804,20221718,19965906,20185172,20185833,20179769,20098941,20050449,20126683,20106879,20171182,20161343,20234659,20257567,20225515,20371962,20353006,20447952,,,22095119,22364267,20242184,20167804,20221718,19965906,20185172,20185833,20179769,20098941,20050449,20126683,20106879,20171182,20161343,20234659,20257567,20225515,20371962,20353006,20447952
23444095,22364971,20244390,20168314,20221975,19967308,20185361,20186008,20179791,20099492,20071498,20129471,20110225,20173120,20162737,20234985,20257672,20226452,20375305,20353211,20451475,,,23444095,22364971,20244390,20168314,20221975,19967308,20185361,20186008,20179791,20099492,20071498,20129471,20110225,20173120,20162737,20234985,20257672,20226452,20375305,20353211,20451475
23779554,22365682,20245299,20169106,20225214,19968747,20185859,20186837,20180123,20101786,20071517,20129655,20110549,20175061,20163884,20235684,20258892,20227964,20377206,20353310,20454525,,,23779554,22365682,20245299,20169106,20225214,19968747,20185859,20186837,20180123,20101786,20071517,20129655,20110549,20175061,20163884,20235684,20258892,20227964,20377206,20353310,20454525
24127934,22365808,20247813,20170060,20225262,19969228,20185942,20186934,20180423,20101909,20071735,20130983,20110640,20175294,20167149,20236922,20260430,20229439,20380203,20359143,20455538,,,24127934,22365808,20247813,20170060,20225262,19969228,20185942,20186934,20180423,20101909,20071735,20130983,20110640,20175294,20167149,20236922,20260430,20229439,20380203,20359143,20455538
24358604,22365986,20249077,20171772,20231316,19969702,20186345,20187950,20181614,20102466,20072460,20131654,20110878,20176748,20168023,20236938,20260827,20229510,20381875,20359429,20456746,,,24358604,22365986,20249077,20171772,20231316,19969702,20186345,20187950,20181614,20102466,20072460,20131654,20110878,20176748,20168023,20236938,20260827,20229510,20381875,20359429,20456746
25131246,22366126,20249081,20172446,20232650,19970636,20188276,20187985,20182001,20103569,20086435,20132390,20113007,20176890,20170832,20237997,20262306,20230311,20382021,20359926,20459431,,,25131246,22366126,20249081,20172446,20232650,19970636,20188276,20187985,20182001,20103569,20086435,20132390,20113007,20176890,20170832,20237997,20262306,20230311,20382021,20359926,20459431
25171761,22366151,20249673,20173510,20232685,19971286,20188971,20189920,20182682,20104280,20088499,20133198,20114157,20176894,20172468,20239448,20264374,20230853,20382673,20360052,20459660,,,25171761,22366151,20249673,20173510,20232685,19971286,20188971,20189920,20182682,20104280,20088499,20133198,20114157,20176894,20172468,20239448,20264374,20230853,20382673,20360052,20459660
25225546,22366449,20251039,20173558,20233469,19971888,20189540,20191514,20183386,20104467,20089743,20133816,20115774,20177788,20173328,20242822,20265414,20230993,20383440,20365463,20460529,,,25225546,22366449,20251039,20173558,20233469,19971888,20189540,20191514,20183386,20104467,20089743,20133816,20115774,20177788,20173328,20242822,20265414,20230993,20383440,20365463,20460529
25260313,22366985,20251674,20173776,20234677,19974469,20189725,20191583,20185279,20107869,20091954,20135065,20116149,20180588,20173608,20243582,20265549,20232151,20384594,20365675,20461111,,,25260313,22366985,20251674,20173776,20234677,19974469,20189725,20191583,20185279,20107869,20091954,20135065,20116149,20180588,20173608,20243582,20265549,20232151,20384594,20365675,20461111
25709796,22367626,20253524,20174027,20235225,19975206,20189777,20191761,20185447,20108305,20094143,20135783,20116427,20181469,20174973,20244428,20266801,20234319,20385866,20366647,20463690,,,25709796,22367626,20253524,20174027,20235225,19975206,20189777,20191761,20185447,20108305,20094143,20135783,20116427,20181469,20174973,20244428,20266801,20234319,20385866,20366647,20463690
25941451,22368477,20256314,20174812,20235289,19975908,20189870,20192592,20186042,20109012,20094732,20136244,20117550,20181570,20175109,20244481,20270996,20234327,20388170,20367562,20463721,,,25941451,22368477,20256314,20174812,20235289,19975908,20189870,20192592,20186042,20109012,20094732,20136244,20117550,20181570,20175109,20244481,20270996,20234327,20388170,20367562,20463721
25943820,22368772,20256758,20174860,20237014,19977318,20190189,20193452,20186638,20109570,20101716,20136340,20117692,20183596,20175305,20245440,20271013,20237129,20390415,20368432,20464703,,,25943820,22368772,20256758,20174860,20237014,19977318,20190189,20193452,20186638,20109570,20101716,20136340,20117692,20183596,20175305,20245440,20271013,20237129,20390415,20368432,20464703
26326153,22369082,20257137,20175508,20238919,19979142,20190438,20193807,20187342,20110865,20106119,20137761,20117772,20184236,20177381,20245893,20274099,20238516,20391912,20370911,20464833,,,26326153,22369082,20257137,20175508,20238919,19979142,20190438,20193807,20187342,20110865,20106119,20137761,20117772,20184236,20177381,20245893,20274099,20238516,20391912,20370911,20464833
26469651,22369095,20257336,20178016,20239722,19982315,20191010,20194084,20188526,20110867,20110571,20138347,20120365,20184879,20178034,20245959,20274471,20238521,20393181,20375708,20465532,,,26469651,22369095,20257336,20178016,20239722,19982315,20191010,20194084,20188526,20110867,20110571,20138347,20120365,20184879,20178034,20245959,20274471,20238521,20393181,20375708,20465532
26748040,22370019,20258387,20178898,20239901,19982996,20191877,20194456,20188665,20111296,20111347,20139881,20121007,20186572,20178732,20246459,20275021,20238754,20393699,20376806,20467035,,,26748040,22370019,20258387,20178898,20239901,19982996,20191877,20194456,20188665,20111296,20111347,20139881,20121007,20186572,20178732,20246459,20275021,20238754,20393699,20376806,20467035
26763605,22370507,20259969,20179072,20241036,19986608,20192350,20195236,20190323,20111763,20112481,20140864,20123038,20187932,20180846,20246757,20275399,20239668,20394007,20378402,20467663,,,26763605,22370507,20259969,20179072,20241036,19986608,20192350,20195236,20190323,20111763,20112481,20140864,20123038,20187932,20180846,20246757,20275399,20239668,20394007,20378402,20467663
26773797,22370596,20260370,20179118,20241789,19987416,20193454,20195416,20190441,20113791,20116386,20140934,20124989,20188629,20181143,20246911,20275784,20239980,20395467,20380041,20468015,,,26773797,22370596,20260370,20179118,20241789,19987416,20193454,20195416,20190441,20113791,20116386,20140934,20124989,20188629,20181143,20246911,20275784,20239980,20395467,20380041,20468015
26906188,22370751,20263902,20180105,20244267,20002389,20193758,20195538,20190504,20114964,20117309,20141084,20126137,20189068,20184064,20247460,20277194,20240197,20395788,20381914,20468479,,,26906188,22370751,20263902,20180105,20244267,20002389,20193758,20195538,20190504,20114964,20117309,20141084,20126137,20189068,20184064,20247460,20277194,20240197,20395788,20381914,20468479
26925164,22371125,20264867,20181162,20244609,20003670,20193786,20196556,20190653,20115301,20118491,20142090,20126590,20189113,20185277,20248109,20278876,20241485,20403330,20382839,20468640,,,26925164,22371125,20264867,20181162,20244609,20003670,20193786,20196556,20190653,20115301,20118491,20142090,20126590,20189113,20185277,20248109,20278876,20241485,20403330,20382839,20468640
27002082,22371252,20266235,20181607,20246901,20005592,20194831,20197876,20191441,20116211,20120483,20142430,20126630,20190241,20188521,20248561,20280390,20241721,20408088,20385781,20469693,,,27002082,22371252,20266235,20181607,20246901,20005592,20194831,20197876,20191441,20116211,20120483,20142430,20126630,20190241,20188521,20248561,20280390,20241721,20408088,20385781,20469693
27272016,22372001,20266305,20181729,20247217,20010136,20194924,20198494,20192367,20120522,20121996,20142729,20126800,20190265,20189204,20249125,20284848,20242043,20409095,20386050,20471175,,,27272016,22372001,20266305,20181729,20247217,20010136,20194924,20198494,20192367,20120522,20121996,20142729,20126800,20190265,20189204,20249125,20284848,20242043,20409095,20386050,20471175
27277166,22372063,20267057,20181821,20247537,20012823,20195661,20199940,20192486,20122122,20123541,20143541,20128325,20190381,20191647,20249325,20284852,20245969,20414866,20388475,20471178,,,27277166,22372063,20267057,20181821,20247537,20012823,20195661,20199940,20192486,20122122,20123541,20143541,20128325,20190381,20191647,20249325,20284852,20245969,20414866,20388475,20471178
27301599,22372474,20269664,20182553,20248273,20014834,20195829,20200152,20192998,20122200,20123737,20145041,20128981,20191905,20191947,20250348,20285711,20245979,20418177,20390401,20472314,,,27301599,22372474,20269664,20182553,20248273,20014834,20195829,20200152,20192998,20122200,20123737,20145041,20128981,20191905,20191947,20250348,20285711,20245979,20418177,20390401,20472314
27351089,22372789,20272150,20182815,20248416,20016768,20196648,20201287,20193071,20122673,20124342,20145432,20130319,20192817,20192080,20250533,20287953,20248045,20418991,20394727,20473363,,,27351089,22372789,20272150,20182815,20248416,20016768,20196648,20201287,20193071,20122673,20124342,20145432,20130319,20192817,20192080,20250533,20287953,20248045,20418991,20394727,20473363
27357432,22372937,20273220,20182957,20249138,20017129,20197562,20201714,20194748,20122674,20124414,20147116,20135546,20194982,20193302,20250766,20290007,20248241,20421327,20396634,20473839,,,27357432,22372937,20273220,20182957,20249138,20017129,20197562,20201714,20194748,20122674,20124414,20147116,20135546,20194982,20193302,20250766,20290007,20248241,20421327,20396634,20473839
27362517,22373875,20273734,20182972,20249545,20018469,20197633,20201979,20194951,20123121,20127821,20147234,20136434,20196103,20193974,20251629,20292874,20248365,20422777,20396760,20474928,,,27362517,22373875,20273734,20182972,20249545,20018469,20197633,20201979,20194951,20123121,20127821,20147234,20136434,20196103,20193974,20251629,20292874,20248365,20422777,20396760,20474928
27405868,22375145,20276752,20183746,20251385,20022842,20197647,20202251,20195156,20123296,20129925,20148449,20137233,20197096,20196039,20251909,20294492,20249836,20424453,20399179,20478013,,,27405868,22375145,20276752,20183746,20251385,20022842,20197647,20202251,20195156,20123296,20129925,20148449,20137233,20197096,20196039,20251909,20294492,20249836,20424453,20399179,20478013
27450258,22375446,20278153,20184333,20252579,20029881,20198359,20203213,20196541,20124310,20130728,20149627,20138280,20197432,20196265,20252699,20296666,20250776,20426953,20400726,20478051,,,27450258,22375446,20278153,20184333,20252579,20029881,20198359,20203213,20196541,20124310,20130728,20149627,20138280,20197432,20196265,20252699,20296666,20250776,20426953,20400726,20478051
27518745,22376096,20282169,20184389,20254186,20039320,20198701,20203571,20197765,20124391,20130842,20150949,20138316,20198084,20198436,20252850,20297689,20251521,20426965,20401322,20479035,,,27518745,22376096,20282169,20184389,20254186,20039320,20198701,20203571,20197765,20124391,20130842,20150949,20138316,20198084,20198436,20252850,20297689,20251521,20426965,20401322,20479035
27586248,22376270,20282454,20184435,20254529,20047439,20198911,20203864,20198340,20125372,20131104,20151384,20139327,20200062,20199969,20253107,20298380,20253686,20427936,20401404,20479815,,,27586248,22376270,20282454,20184435,20254529,20047439,20198911,20203864,20198340,20125372,20131104,20151384,20139327,20200062,20199969,20253107,20298380,20253686,20427936,20401404,20479815
28680627,22376385,20284273,20185145,20256139,20049081,20199245,20207147,20198516,20126142,20131627,20151951,20142027,20201017,20201069,20253195,20301148,20254972,20428282,20405809,20480107,,,28680627,22376385,20284273,20185145,20256139,20049081,20199245,20207147,20198516,20126142,20131627,20151951,20142027,20201017,20201069,20253195,20301148,20254972,20428282,20405809,20480107
29219821,22376609,20285152,20185673,20256620,20052173,20199342,20207667,20198900,20126364,20133653,20152505,20142441,20203839,20202107,20253219,20302552,20255681,20429184,20406475,20480218,,,29219821,22376609,20285152,20185673,20256620,20052173,20199342,20207667,20198900,20126364,20133653,20152505,20142441,20203839,20202107,20253219,20302552,20255681,20429184,20406475,20480218
29767054,22376878,20290067,20185719,20258667,20057045,20199693,20207879,20198931,20128050,20133749,20154628,20144189,20205005,20202797,20255942,20303152,20255922,20430922,20407037,20480977,,,29767054,22376878,20290067,20185719,20258667,20057045,20199693,20207879,20198931,20128050,20133749,20154628,20144189,20205005,20202797,20255942,20303152,20255922,20430922,20407037,20480977
29790047,22377985,20296531,20186389,20259981,20057869,20200224,20208074,20199925,20128259,20133855,20155319,20144949,20205158,20202802,20258045,20303883,20258817,20433557,20409855,20481505,,,29790047,22377985,20296531,20186389,20259981,20057869,20200224,20208074,20199925,20128259,20133855,20155319,20144949,20205158,20202802,20258045,20303883,20258817,20433557,20409855,20481505
30084771,22378493,20302179,20187487,20261662,20058685,20200331,20209202,20199961,20128844,20133897,20157118,20146557,20205527,20206120,20260056,20304085,20259597,20434562,20411499,20483435,,,30084771,22378493,20302179,20187487,20261662,20058685,20200331,20209202,20199961,20128844,20133897,20157118,20146557,20205527,20206120,20260056,20304085,20259597,20434562,20411499,20483435
30274113,22378798,20305381,20188184,20262322,20062960,20201345,20210261,20200710,20129162,20134470,20157680,20147079,20205996,20206837,20260420,20304858,20259703,20435832,20411839,20483686,,,30274113,22378798,20305381,20188184,20262322,20062960,20201345,20210261,20200710,20129162,20134470,20157680,20147079,20205996,20206837,20260420,20304858,20259703,20435832,20411839,20483686
30294563,22378996,20321414,20189050,20264147,20064366,20201824,20212811,20200767,20132165,20135436,20157935,20147679,20206966,20207454,20261194,20310188,20260057,20437937,20415196,20483862,,,30294563,22378996,20321414,20189050,20264147,20064366,20201824,20212811,20200767,20132165,20135436,20157935,20147679,20206966,20207454,20261194,20310188,20260057,20437937,20415196,20483862
30296693,22379502,20322378,20189335,20264627,20067304,20203146,20212812,20201260,20132205,20135749,20159140,20147793,20207476,20207959,20261654,20310211,20260119,20439903,20415941,20484304,,,30296693,22379502,20322378,20189335,20264627,20067304,20203146,20212812,20201260,20132205,20135749,20159140,20147793,20207476,20207959,20261654,20310211,20260119,20439903,20415941,20484304
30317351,22379615,20335371,20189463,20266459,20068689,20203352,20213475,20202606,20132264,20135828,20159961,20148474,20208748,20208644,20261709,20311595,20261960,20442455,20416793,20487918,,,30317351,22379615,20335371,20189463,20266459,20068689,20203352,20213475,20202606,20132264,20135828,20159961,20148474,20208748,20208644,20261709,20311595,20261960,20442455,20416793,20487918
30323241,22379988,20363601,20189891,20275507,20068721,20203518,20213599,20203070,20132689,20137896,20161271,20148595,20210015,20208764,20262006,20311819,20262661,20444738,20419352,20488188,,,30323241,22379988,20363601,20189891,20275507,20068721,20203518,20213599,20203070,20132689,20137896,20161271,20148595,20210015,20208764,20262006,20311819,20262661,20444738,20419352,20488188
30326269,22380080,20380832,20190252,20277677,20072374,20203856,20213630,20203630,20134293,20138221,20161509,20149509,20213850,20209457,20262177,20312251,20264099,20445724,20421677,20488698,,,30326269,22380080,20380832,20190252,20277677,20072374,20203856,20213630,20203630,20134293,20138221,20161509,20149509,20213850,20209457,20262177,20312251,20264099,20445724,20421677,20488698
30327692,22380828,20386137,20190371,20279438,20072678,20204849,20215148,20204319,20135976,20138718,20164240,20153465,20215899,20212454,20262403,20313500,20264806,20446585,20422352,20489979,,,30327692,22380828,20386137,20190371,20279438,20072678,20204849,20215148,20204319,20135976,20138718,20164240,20153465,20215899,20212454,20262403,20313500,20264806,20446585,20422352,20489979
30328332,22381260,20395839,20191150,20279863,20072938,20205923,20215385,20204873,20137015,20139717,20165370,20153808,20217572,20212476,20266199,20314441,20265206,20447635,20429367,20492383,,,30328332,22381260,20395839,20191150,20279863,20072938,20205923,20215385,20204873,20137015,20139717,20165370,20153808,20217572,20212476,20266199,20314441,20265206,20447635,20429367,20492383
30338614,22381287,20397163,20191583,20287536,20077706,20205934,20217454,20205246,20137059,20140034,20165459,20155511,20218146,20212630,20267605,20317827,20265938,20450320,20431084,20493395,,,30338614,22381287,20397163,20191583,20287536,20077706,20205934,20217454,20205246,20137059,20140034,20165459,20155511,20218146,20212630,20267605,20317827,20265938,20450320,20431084,20493395
