0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log,,,0.log,1.log,2.log,3.log,4.log,5.log,6.log,7.log,8.log,9.log,10.log,11.log,12.log,13.log,14.log,15.log,16.log,17.log,18.log,19.log,20.log
16530648,16561777,16594324,16584538,16724917,16573727,16844883,16662528,16591709,16760978,16770361,16697976,16943212,16834825,16654404,16880759,16854667,16848493,16937445,16919655,17176961,,,16530648,16561777,16594324,16584538,16724917,16573727,16844883,16662528,16591709,16760978,16770361,16697976,16943212,16834825,16654404,16880759,16854667,16848493,16937445,16919655,17176961
16531180,16561815,16595982,16584671,16730565,16574270,16851912,16673640,16599540,16804456,16790671,16704264,16950424,16835786,16666590,16891752,16873790,16858906,16939100,16947183,17212538,,,16531180,16561815,16595982,16584671,16730565,16574270,16851912,16673640,16599540,16804456,16790671,16704264,16950424,16835786,16666590,16891752,16873790,16858906,16939100,16947183,17212538
16534534,16570071,16597789,16584960,16786732,16580583,16853358,16689077,16603728,16804825,16794482,16705147,16960043,16843327,16666739,16897612,16880146,16865981,16940935,16957193,17554067,,,16534534,16570071,16597789,16584960,16786732,16580583,16853358,16689077,16603728,16804825,16794482,16705147,16960043,16843327,16666739,16897612,16880146,16865981,16940935,16957193,17554067
16540118,16574313,16598563,16587876,16811174,16583410,16862748,16692143,16603984,16814982,16829846,16742014,16968065,16845690,16674261,16911066,16895793,16876480,16971795,16963300,17705150,,,16540118,16574313,16598563,16587876,16811174,16583410,16862748,16692143,16603984,16814982,16829846,16742014,16968065,16845690,16674261,16911066,16895793,16876480,16971795,16963300,17705150
16540428,16576847,16615828,16589823,16819713,16588994,16869548,16810036,16618504,16825932,16835684,16751575,16992816,16865243,16681502,16929086,16910097,16921211,17098849,17050833,17712605,,,16540428,16576847,16615828,16589823,16819713,16588994,16869548,16810036,16618504,16825932,16835684,16751575,16992816,16865243,16681502,16929086,16910097,16921211,17098849,17050833,17712605
16541071,16577204,16619070,16618394,16833880,16589253,16873952,16817297,16624130,16842712,16838947,16752926,17000478,16877252,16689394,16992169,16917920,16927013,17120090,17064188,17734533,,,16541071,16577204,16619070,16618394,16833880,16589253,16873952,16817297,16624130,16842712,16838947,16752926,17000478,16877252,16689394,16992169,16917920,16927013,17120090,17064188,17734533
16542417,16580333,16619634,16619560,16837379,16592760,16874262,16835410,16626338,16850803,16852280,16758848,17033608,16892630,16705681,16998100,16934382,16931206,17126075,17066895,17740321,,,16542417,16580333,16619634,16619560,16837379,16592760,16874262,16835410,16626338,16850803,16852280,16758848,17033608,16892630,16705681,16998100,16934382,16931206,17126075,17066895,17740321
16545459,16582610,16624981,16622190,16841534,16593140,16879556,16841146,16644398,16864166,16859348,16770313,17162498,16901734,16771085,16999863,16937510,16948968,17154311,17081783,17817458,,,16545459,16582610,16624981,16622190,16841534,16593140,16879556,16841146,16644398,16864166,16859348,16770313,17162498,16901734,16771085,16999863,16937510,16948968,17154311,17081783,17817458
16545576,16584640,16628036,16625332,16847502,16596694,16883660,16878685,16646746,16865391,16864631,16816124,17168168,16910391,16819140,17026758,16945731,16956313,17171722,17098658,17837652,,,16545576,16584640,16628036,16625332,16847502,16596694,16883660,16878685,16646746,16865391,16864631,16816124,17168168,16910391,16819140,17026758,16945731,16956313,17171722,17098658,17837652
16546068,16592609,16633798,16626127,16852932,16600411,16890374,16885916,16651369,16882537,16883151,16820198,17202882,16915747,16838355,17044500,16949704,16977528,17219979,17103670,17847119,,,16546068,16592609,16633798,16626127,16852932,16600411,16890374,16885916,16651369,16882537,16883151,16820198,17202882,16915747,16838355,17044500,16949704,16977528,17219979,17103670,17847119
16548465,16595702,16651000,16626396,16876113,16608964,16891883,16886912,16652120,16887331,16891108,16833103,17222490,16919618,16843783,17059685,16958311,16992484,17297012,17155532,17866361,,,16548465,16595702,16651000,16626396,16876113,16608964,16891883,16886912,16652120,16887331,16891108,16833103,17222490,16919618,16843783,17059685,16958311,16992484,17297012,17155532,17866361
16552256,16596451,16658041,16637709,16888833,16610934,16893572,16892698,16654743,16891307,16899020,16840248,17232553,16926060,16879858,17189388,16958727,17009353,17348369,17200837,17872201,,,16552256,16596451,16658041,16637709,16888833,16610934,16893572,16892698,16654743,16891307,16899020,16840248,17232553,16926060,16879858,17189388,16958727,17009353,17348369,17200837,17872201
16552835,16597434,16659118,16646495,16890597,16614416,16898371,16893280,16667063,16895121,16899450,16842655,17233223,16926439,16884690,17432818,16960056,17031978,17389864,17233157,17878096,,,16552835,16597434,16659118,16646495,16890597,16614416,16898371,16893280,16667063,16895121,16899450,16842655,17233223,16926439,16884690,17432818,16960056,17031978,17389864,17233157,17878096
16553877,16599553,16660458,16649043,16893048,16614674,16898507,16895374,16675226,16897030,16910547,16843046,17254663,16953534,16925011,17669501,16971470,17032207,17427156,17256338,17879624,,,16553877,16599553,16660458,16649043,16893048,16614674,16898507,16895374,16675226,16897030,16910547,16843046,17254663,16953534,16925011,17669501,16971470,17032207,17427156,17256338,17879624
16554271,16601061,16692099,16652474,16896815,16614688,16904992,16917049,16680403,16901082,16915768,16847440,17300138,16969877,16932028,17739735,16988721,17047398,17765896,17272091,17881250,,,16554271,16601061,16692099,16652474,16896815,16614688,16904992,16917049,16680403,16901082,16915768,16847440,17300138,16969877,16932028,17739735,16988721,17047398,17765896,17272091,17881250
16558982,16607652,16693814,16661911,16904539,16623259,16907430,16922114,16690280,16904447,16917015,16853395,17563713,16974942,16936269,17775887,17004024,17054153,17797204,17314408,17884358,,,16558982,16607652,16693814,16661911,16904539,16623259,16907430,16922114,16690280,16904447,16917015,16853395,17563713,16974942,16936269,17775887,17004024,17054153,17797204,17314408,17884358
16560326,16613550,16699347,16669033,16905834,16631441,16910369,16926547,16691698,16914153,16918108,16854147,17567743,16980183,16939396,17790430,17015575,17113115,17809160,17456819,17886565,,,16560326,16613550,16699347,16669033,16905834,16631441,16910369,16926547,16691698,16914153,16918108,16854147,17567743,16980183,16939396,17790430,17015575,17113115,17809160,17456819,17886565
16560339,16632999,16706039,16669492,16910698,16633586,16911383,16946753,16691759,16915460,16918219,16873920,17800346,16992938,16946373,17791774,17020018,17126633,17834554,17540434,17892318,,,16560339,16632999,16706039,16669492,16910698,16633586,16911383,16946753,16691759,16915460,16918219,16873920,17800346,16992938,16946373,17791774,17020018,17126633,17834554,17540434,17892318
16562371,16641727,16743366,16673802,16915795,16637501,16914853,16956324,16750964,16926781,16919924,16879874,17820015,17054745,16949248,17794185,17027662,17141379,17842819,17795771,17893141,,,16562371,16641727,16743366,16673802,16915795,16637501,16914853,16956324,16750964,16926781,16919924,16879874,17820015,17054745,16949248,17794185,17027662,17141379,17842819,17795771,17893141
16564839,16644839,16763540,16676372,16938433,16645244,16920876,16961303,16764819,16940703,16924529,16883709,17825500,17071482,17070310,17802655,17063575,17206748,17846643,17796093,17893335,,,16564839,16644839,16763540,16676372,16938433,16645244,16920876,16961303,16764819,16940703,16924529,16883709,17825500,17071482,17070310,17802655,17063575,17206748,17846643,17796093,17893335
16566625,16654686,16771757,16694855,16943624,16650405,16921035,16975494,16771524,16940769,16926140,16887693,17828197,17073502,17096365,17809274,17064021,17237504,17878755,17798299,17894691,,,16566625,16654686,16771757,16694855,16943624,16650405,16921035,16975494,16771524,16940769,16926140,16887693,17828197,17073502,17096365,17809274,17064021,17237504,17878755,17798299,17894691
16566709,16655231,16772425,16702998,16950811,16650875,16929548,16978857,16779004,16954310,16929431,16897344,17828943,17082449,17160301,17813462,17079403,17267487,17891988,17799558,17898215,,,16566709,16655231,16772425,16702998,16950811,16650875,16929548,16978857,16779004,16954310,16929431,16897344,17828943,17082449,17160301,17813462,17079403,17267487,17891988,17799558,17898215
16566746,16657739,16809938,16726168,16966046,16663203,16930009,16987202,16780085,17009072,16941003,16900616,17836519,17102172,17170539,17824309,17085260,17269982,17899265,17813328,17900641,,,16566746,16657739,16809938,16726168,16966046,16663203,16930009,16987202,16780085,17009072,16941003,16900616,17836519,17102172,17170539,17824309,17085260,17269982,17899265,17813328,17900641
16567558,16661308,16831804,16731765,16981749,16663640,16933089,16990445,16782337,17021276,16943343,16907996,17836598,17117926,17189323,17826922,17090484,17298643,17900218,17818638,17901207,,,16567558,16661308,16831804,16731765,16981749,16663640,16933089,16990445,16782337,17021276,16943343,16907996,17836598,17117926,17189323,17826922,17090484,17298643,17900218,17818638,17901207
16568241,16665394,16843023,16756671,16984888,16667906,16943476,16992031,16813667,17022173,16957060,16915285,17858134,17125257,17206832,17833824,17102446,17324656,17909221,17844612,17903486,,,16568241,16665394,16843023,16756671,16984888,16667906,16943476,16992031,16813667,17022173,16957060,16915285,17858134,17125257,17206832,17833824,17102446,17324656,17909221,17844612,17903486
