0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log,avg,,0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
22337263,23137797,21880454,22068867,22233437,22634633,22676370,23194727,21929122,22977848,23159935,23152702,22995398,23080375,22924911,23210295,23157944,22277223,22958282,23029048,22974316,22761473.67,,25059910,25133129,25922633,25577994,25339131,26356426,26291352,25119415,25655670,26355009,26408098,26737890,26737186,25632778,26427628,26687913,26795902,26854657,26787990,26770992,27025999
22400678,23261988,21959109,22257159,22381562,22900098,22701323,23256316,22492155,22998793,23166783,23158489,23161494,23093385,22947842,23220609,23190782,22358969,23013426,23073659,23097387,22861524.1,,25080680,25138845,25936862,25790908,25352447,26384900,26309051,25138012,25879344,26373229,26414874,26747925,26750271,26047911,26529333,26704635,26804074,26919469,26845108,26776231,27049002
22520759,23266860,22408017,22300783,22396727,23103603,23111815,23264765,22575622,23047936,23195197,23166088,23168991,23159416,23027865,23238729,23215396,22505301,23118480,23078738,23148639,22953320.33,,25118983,25142888,26173808,25981519,25402342,26408302,26353000,25138126,26066035,26398784,26477298,26800895,26753081,26278803,26565787,26740196,26841072,26922514,26905414,26800529,27056846
22583092,23284287,22469853,22418080,22657966,23188937,23136269,23287567,22644192,23049591,23201170,23190442,23190423,23165183,23090591,23239525,23228871,22622111,23129215,23124645,23154354,23002684,,25184282,25214052,26244815,25996516,25530063,26446811,26364720,25158503,26145766,26414693,26596277,26820443,26788807,26342096,26705679,26758328,26854268,26926046,26915568,26822607,27168263
22612249,23305996,22481756,22558139,22715386,23205256,23145727,23297342,22808022,23060576,23227767,23199588,23212450,23173091,23154931,23247636,23232652,22647800,23175991,23133851,23165111,23036253.19,,25193018,25247269,26290849,26083213,25759855,26522968,26399746,25169201,26151969,26442852,26646916,26854097,26799273,26393624,26766489,26780770,26868747,26929304,26962371,26926912,27183128
23040459,23320692,22550977,22971207,22805190,23246930,23156012,23298464,22964549,23135321,23232813,23219164,23232810,23200453,23195125,23258261,23259214,22727835,23189615,23195943,23244880,23116472.1,,25195300,25248126,26309647,26086299,25789070,26645530,26452845,25202729,26424372,26477115,26658179,26913298,26826988,26400835,26781762,26812717,26935683,26966264,26990909,27005788,27188844
23066424,23327444,22628405,23022894,22936298,23253809,23199955,23299626,23008117,23147859,23233362,23222811,23236302,23224628,23196500,23261130,23311433,22952626,23236416,23197560,23255877,23153308.38,,25229514,25262378,26319112,26120140,25855606,26677277,26464591,25211676,26444833,26676529,26690278,26917300,26940652,26418950,26806031,26815052,27010091,26986383,27007626,27032638,27219739
23299229,23424062,22753050,23108069,23047024,23271293,23205263,23304566,23039574,23165244,23245995,23251971,23273246,23236807,23204093,23262591,23312567,23052465,23250486,23198387,23269813,23198847.38,,25246457,25302938,26323505,26164965,25955855,26801937,26465264,25239322,26455411,26688885,26693605,26926228,26971454,26581251,26827649,26822437,27077109,26989352,27011016,27041626,27221733
23309631,23450882,22756616,23111831,23087100,23277397,23208206,23313867,23148723,23189293,23288363,23259780,23277804,23251093,23244384,23270367,23317637,23161017,23275280,23213541,23270568,23223018.1,,25251452,25317879,26339061,26184094,26117346,26845062,26528571,25259993,26457433,26726603,26711393,26932159,27003163,26760501,26914343,26828249,27109704,27070468,27012774,27135888,27254970
23339556,23519601,22817470,23119970,23173273,23284270,23208938,23322759,23155256,23192478,23290381,23272799,23297084,23263669,23248370,23280102,23320649,23203123,23280317,23242916,23275807,23243275.62,,25292198,25813693,26346788,26191031,26198904,26864110,26662790,25458473,26501022,26744879,26719160,27088262,27064071,26791666,26962133,26889097,27252307,27077964,27030152,27162373,27269798
23361231,23524999,22833971,23138080,23193764,23331905,23216434,23323277,23173471,23208463,23300335,23273323,23319313,23280849,23253623,23281297,23346452,23225015,23295321,23246244,23300506,23258470.14,,25737685,25816684,26367832,26224771,26229639,26901132,26674197,25617963,26573438,26745813,26721438,27120754,27098597,26802213,27058992,26891435,27323402,27083785,27161635,27168687,27291822
