0.00.log,0.50.log,1.00.log,1.50.log,2.00.log,2.50.log,3.00.log,3.50.log,4.00.log,4.50.log,5.00.log,5.50.log,6.00.log,6.50.log,7.00.log,7.50.log,8.00.log,8.50.log,9.00.log,9.50.log,10.00.log
26337352,26402329,26466846,26650317,26635274,27869480,27005545,26666922,26881555,27050296,26964039,27878142,27308324,27042916,27719024,27558771,27817001,27467828,27606905,27688539,27665585
26351056,26402644,26466906,26683302,26650329,27876590,27058692,26682079,26888067,27055441,27008313,27915276,27321965,27120271,27748216,27591634,27821107,27481701,27654245,27719984,27757848
26355487,26418991,26484844,26813122,26749191,27877917,27088403,26701634,26993742,27474928,27052426,27932143,27403727,27142993,27765731,27635750,27891433,27490288,27746105,27811212,27791168
26356751,26439328,26570687,26824961,26750856,27888698,27169798,26730651,27142504,27552631,27112433,27960238,27426762,27166822,27893121,27640801,27936512,27494652,27784764,27920038,27795303
26373906,26454113,26703072,26830333,26796904,27922290,27250596,26730669,27282427,27621218,27278667,28011253,27516577,27290829,27912094,27641346,27972192,27522245,27835327,27942062,27808049
26430439,26597017,26762478,26864947,26812448,27924146,27352476,26766554,27322606,27643182,27353358,28016640,27631613,27315682,27913350,27648268,27977409,27559679,27882387,27974103,27864174
26432096,26637420,26766338,26870784,26877744,27928453,27366662,26789204,27323719,27764646,27365515,28043948,27727160,27317480,27966425,27658847,28011695,27604825,27915589,28014277,27877963
26450528,26846520,26830366,26905072,26977560,27930623,27403077,26795232,27358117,27788206,27371340,28049612,27787651,27484075,28012299,27694391,28051576,27710421,27917797,28043370,27894000
26468025,26873111,26848284,26957433,27029173,27936950,27445173,26806821,27379915,27850717,27375076,28060871,27790354,27592553,28034401,27747771,28072710,27716754,27923409,28049924,27900691
26478169,26922106,26966440,26980476,27031849,27980884,27528426,26824414,27460002,27897712,27447739,28086895,27819676,27611149,28087530,27801713,28102188,27831590,27938832,28103865,27917763
26528614,26930505,26981223,27189005,27118070,27988845,27821947,26838093,27465829,27900910,27500470,28091472,27846708,27687652,28098086,27841674,28107201,27869150,27953845,28108363,27918575
26581725,26933791,27008899,27205039,27156069,28015679,27825635,26867957,27600252,27929037,27519902,28097113,27878868,27805431,28103469,27844222,28110491,27881963,27966855,28117682,27930490
26598386,26942622,27023917,27223848,27262761,28019442,27871112,26875667,27626311,27930454,27739364,28104983,27950541,27833775,28142319,27864627,28113844,27887624,27976109,28124325,27963726
